number,timetaken
1000,6645639
1100,7832877
1200,9542403
1300,10937910
1400,12764133
1500,14762888
1600,17403292
1700,18949201
1800,21445115
1900,25886215
2000,26890412
2100,28508194
2200,31591176
2300,34418429
2400,37807192
2500,42579129
2600,44346231
2700,48157444
2800,51100233
2900,55061014
3000,59351202
3100,64000070
3200,69143191
3300,73259654
3400,79190026
3500,91830287
3600,89485435
3700,94165632
3800,97730023
3900,107703309
4000,108422755
4100,112019075
4200,117644979
4300,124750878
4400,129394606
4500,135772264
4600,141742000
4700,149424597
4800,154263180
4900,162016670
5000,167313739
5100,173779251
5200,181474542
5300,189601479
5400,195798219
5500,203849456
5600,211661936
5700,219136594
5800,226300612
5900,235873012
6000,243205525
6100,251462865
6200,260636950
6300,269287618
6400,281067832
6500,287227022
6600,302627393
6700,305825430
6800,313507036
6900,323412276
7000,338123059
7100,351230705
7200,354569935
7300,362309972
7400,373944274
7500,384006529
7600,393215399
7700,406718314
7800,416558276
7900,426913387
8000,438749107
8100,456215980
8200,468298151
8300,475367043
8400,486915826
8500,500735023
8600,510362917
8700,523947697
8800,535316414
8900,545039657
9000,563643035
9100,571899287
9200,584543509
9300,597025417
9400,609966165
9500,622907372
9600,637317513
9700,651760890
9800,664007278
9900,676710972
10000,694222302
