number,timetaken
1,240
101,50605
201,142458
301,301207
401,527181
501,821154
601,1175200
701,1595260
801,2076715
901,2826055
1001,3251374
1101,4113616
1201,4676966
1301,5644545
1401,6516665
1501,7397391
1601,8379298
1701,9543066
1801,10537005
1901,11828875
2001,13025295
2101,14294271
2201,15490631
2301,16956969
2401,18450758
2501,19991996
2601,21635557
2701,23343109
2801,25067852
2901,26933360
3001,28738715
3101,30733647
3201,32674747
3301,34767292
3401,36962511
3501,39088829
3601,41369246
3701,43695902
3801,46051792
3901,48525305
4001,51215693
4101,53687261
4201,56229632
4301,58998309
4401,61786062
4501,64598771
4601,67719861
4701,71306125
4801,73674287
4901,76890596
5001,79997889
5101,83401110
5201,86370071
5301,89695615
5401,93522071
5501,96502936
5601,100408511
5701,103708897
5801,107386624
5901,111077044
6001,114737015
6101,118608466
6201,122668750
6301,126487792
6401,130587651
6501,134613662
6601,139045827
6701,142989563
6801,147514042
6901,151596626
7001,155970601
7101,160404259
7201,165360699
7301,169868025
7401,174518981
7501,179053436
7601,183974820
7701,188748426
7801,193604478
7901,198814776
8001,204090825
8101,208695793
8201,214193321
8301,219610708
8401,224833729
8501,230038734
8601,235574103
8701,240892763
8801,246622538
8901,252118399
9001,258001140
9101,263491625
9201,270536972
9301,275486615
9401,280886429
9501,287154786
9601,293686786
9701,299628968
9801,305888047
9901,312544854
