number,timetaken
1000,2300739
1100,2698343
1200,3429369
1300,4192315
1400,4812234
1500,5249211
1600,5940152
1700,6352712
1800,7534100
1900,8090170
2000,9143228
2100,9899621
2200,11148325
2300,12106125
2400,12840618
2500,14337665
2600,15092717
2700,16427430
2800,17835913
2900,19126715
3000,20512856
3100,23512091
3200,23015032
3300,24799187
3400,26250749
3500,28108681
3600,29417939
3700,30547971
3800,32064535
3900,34548397
4000,37256188
4100,38142994
4200,39301230
4300,42119096
4400,44399327
4500,46847623
4600,49623771
4700,49477017
4800,52980504
4900,57490543
5000,59002849
5100,58932187
5200,62152886
5300,68174880
5400,72167502
5500,68372800
5600,71769107
5700,74173171
5800,77809607
5900,80914189
6000,83241269
6100,85887955
6200,86674184
6300,88184166
6400,93026455
6500,94726793
6600,99884002
6700,100748768
6800,102508938
6900,108912095
7000,110803319
7100,119484984
7200,115693758
7300,121501282
7400,124706122
7500,130319182
7600,131997088
7700,135770029
7800,135288220
7900,142255530
8000,143374221
8100,150437312
8200,156156419
8300,156516103
8400,161399029
8500,162818191
8600,167933581
8700,171843709
8800,178958626
8900,178404600
9000,185295660
9100,187250063
9200,190747239
9300,198789980
9400,201047619
9500,202068859
9600,209005573
9700,213577517
9800,218916386
9900,218272122
10000,223009567
