number,timetaken
1000,15637097
1100,17782164
1200,21320401
1300,23716384
1400,26975482
1500,30668006
1600,35132195
1700,39149982
1800,43751716
1900,49357737
2000,54311235
2100,59908149
2200,66386029
2300,72093579
2400,79079575
2500,85045734
2600,92679363
2700,99895136
2800,106809950
2900,115433910
3000,124712928
3100,87305365
3200,69072142
3300,72901961
3400,77805175
3500,82393745
3600,87454812
3700,92051376
3800,97248587
3900,103031657
4000,111021038
4100,114316392
4200,119359187
4300,124876642
4400,131250751
4500,137499396
4600,143816458
4700,151037801
4800,156615158
4900,164539910
5000,170934295
5100,178148605
5200,183567087
5300,192049875
5400,199304400
5500,206707541
5600,214617033
5700,222183407
5800,230075959
5900,238487524
6000,247230967
6100,255360719
6200,264597548
6300,273170544
6400,281101787
6500,291508751
6600,300798098
6700,308370974
6800,318010954
6900,328634220
7000,340754500
7100,346923688
7200,358835299
7300,366725927
7400,379848960
7500,390061042
7600,399273867
7700,412520831
7800,422722515
7900,432383101
8000,444599840
8100,454400198
8200,465707606
8300,478533607
8400,505552400
8500,503301306
8600,514082467
8700,527682597
8800,538941675
8900,551382951
9000,563619397
9100,575605367
9200,590614687
9300,603487495
9400,613748558
9500,626440711
9600,641850536
9700,656639717
9800,668065986
9900,681679170
10000,699624568
