number,timetaken
1,220
101,8606
201,16802
301,27001
401,37610
501,49333
601,63158
701,73217
801,83606
901,103082
1001,121838
1101,121998
1201,135023
1301,148448
1401,158817
1501,177933
1601,185086
1701,201838
1801,216465
1901,233267
2001,238827
2101,252622
2201,270486
2301,287368
2401,294100
2501,324908
2601,330358
2701,344154
2801,367067
2901,374050
3001,397404
3101,419765
3201,422821
3301,429604
3401,457215
3501,462926
3601,469308
3701,481160
3801,494826
3901,527557
4001,523360
4101,560689
4201,569475
4301,564036
4401,606925
4501,600564
4601,623466
4701,670444
4801,671847
4901,688879
5001,676766
5101,703236
5201,714176
5301,768368
5401,745975
5501,801280
5601,791962
5701,796210
5801,802401
5901,836004
6001,855230
6101,847506
6201,912457
6301,871831
6401,892249
6501,953084
6601,937815
6701,952693
6801,974904
6901,1019097
7001,1091563
7101,1011372
7201,1021461
7301,1045567
7401,1106079
7501,1137479
7601,1104617
7701,1204394
7801,1136637
7901,1149722
8001,1157516
8101,1163247
8201,1192031
8301,1218561
8401,1236303
8501,1252624
8601,1250490
8701,1281898
8801,1275637
8901,1300544
9001,1302858
9101,1340088
9201,1364984
9301,1384591
9401,1368280
9501,1419967
9601,1390813
9701,1418194
9801,1465913
9901,1462847
