number,timetaken
1000,2328939
1100,2779827
1200,3457246
1300,4067310
1400,4615009
1500,5326872
1600,6033736
1700,6523305
1800,7748763
1900,8362294
2000,9364807
2100,10181406
2200,11247897
2300,12467004
2400,13175100
2500,14664539
2600,15520831
2700,16851554
2800,18362944
2900,19542035
3000,21102936
3100,22573620
3200,23641145
3300,25512573
3400,26999136
3500,28595293
3600,30259828
3700,31462002
3800,33113633
3900,35481674
4000,37345248
4100,39240401
4200,40496776
4300,43023914
4400,45671385
4500,48062429
4600,49655651
4700,50872142
4800,53835601
4900,55892845
5000,58201346
5100,60369096
5200,63023430
5300,65608655
5400,67188501
5500,70659614
5600,72975318
5700,76314515
5800,78173401
5900,82280615
6000,84862164
6100,86531868
6200,89223861
6300,91110428
6400,94714848
6500,97487232
6600,100033966
6700,103837335
6800,105286780
6900,110709971
7000,113917914
7100,117494612
7200,119437073
7300,124281337
7400,127107961
7500,129178360
7600,135537972
7700,136985342
7800,139855076
7900,143865160
8000,148328196
8100,153538271
8200,155889531
8300,158405548
8400,164394100
8500,166507167
8600,173409609
8700,176798687
8800,180198618
8900,184642519
9000,189469831
9100,191480038
9200,196371390
9300,200015875
9400,206222472
9500,229766746
9600,213766605
9700,219347228
9800,222214879
9900,224002301
10000,229118311
