number,timetaken
1000,77040
1100,75678
1200,80657
1300,96899
1400,99304
1500,108001
1600,116377
1700,127639
1800,124953
1900,138080
2000,142999
2100,148489
2200,158699
2300,165082
2400,179941
2500,185051
2600,193899
2700,201332
2800,212755
2900,216162
3000,227103
3100,235349
3200,252914
3300,255308
3400,255529
3500,263845
3600,271981
3700,279154
3800,286929
3900,290968
4000,312691
4100,351035
4200,364741
4300,473263
4400,376144
4500,397225
4600,436001
4700,364191
4800,370203
4900,390833
5000,399018
5100,404339
5200,403478
5300,432985
5400,499825
5500,531848
5600,573319
5700,525555
5800,534923
5900,566936
6000,589090
6100,561275
6200,572176
6300,604078
6400,591644
6500,525906
6600,546255
6700,548550
6800,568168
6900,549221
7000,588829
7100,621422
7200,641311
7300,1089195
7400,609148
7500,606023
7600,618697
7700,653715
7800,743540
7900,721879
8000,755083
8100,769150
8200,740956
8300,673323
8400,679987
8500,714133
8600,713041
8700,752288
8800,733181
8900,867933
9000,860468
9100,859918
9200,881099
9300,873003
9400,887232
9500,896589
9600,922049
9700,933251
9800,1250259
9900,866731
10000,848695
10100,867432
10200,875738
10300,864577
10400,870648
10500,944933
10600,904465
10700,882542
10800,905446
10900,905276
11000,930325
11100,950063
11200,919073
11300,939042
11400,944172
11500,967047
11600,999480
11700,1000482
11800,1001394
11900,1001824
12000,1029228
12100,1022054
12200,1065068
12300,1066721
12400,1062543
12500,1051120
12600,1074797
12700,1195082
12800,1121879
12900,1114113
13000,2033086
13100,1151446
13200,1129935
13300,1156567
13400,1161075
13500,1163249
13600,1155414
13700,1208037
13800,1191194
13900,1278223
14000,1206885
14100,1316178
14200,1259397
14300,1214780
14400,1245450
14500,1223467
14600,1339754
14700,1327360
14800,1254318
14900,1265048
15000,1268475
15100,1291069
15200,1297482
15300,1339062
15400,1308132
15500,1330326
15600,1347820
15700,1351076
15800,1357308
15900,1382888
16000,1363861
16100,1385964
16200,1402847
16300,1413538
16400,1429630
16500,1417676
16600,1430912
16700,1427635
16800,1455971
16900,1488935
17000,1489176
17100,1598739
17200,1623969
17300,1526278
17400,1541157
17500,1518102
17600,1546637
17700,1556216
17800,1567909
17900,1581746
18000,1632625
18100,1640330
18200,1624600
18300,1620592
18400,1622846
18500,1611635
18600,1637155
18700,1636402
18800,1666852
18900,1802707
19000,1692582
19100,1678785
19200,1735486
19300,1693013
19400,1736167
19500,1783410
19600,1740916
19700,1741337
19800,1781395
19900,1772248
20000,1757719
20100,1796335
20200,1796795
20300,1803929
20400,1785513
20500,1839078
20600,1852615
20700,1827656
20800,1867153
20900,1894256
21000,1902963
21100,1905107
21200,1971887
21300,1923052
21400,1927861
21500,1933442
21600,2046944
21700,2333933
21800,2057895
21900,1959183
22000,1970725
22100,1932991
22200,1982749
22300,1965364
22400,1987748
22500,2000012
22600,1965815
22700,1999270
22800,2039890
22900,2066792
23000,2094326
23100,2616645
23200,2121299
23300,2175956
23400,2146087
23500,2087833
23600,2131499
23700,2805033
23800,2175875
23900,2167509
24000,2175585
24100,2231804
24200,2157600
24300,2213980
24400,2258727
24500,2253186
24600,2196926
24700,2319566
24800,2245862
24900,2270039
25000,2293494
25100,2329986
25200,2309055
25300,2274868
25400,2353572
25500,2330747
25600,2391296
25700,2379753
25800,2394011
25900,2423849
26000,2418649
26100,2415042
26200,2411615
26300,2422576
26400,2425011
26500,2425773
26600,2405954
26700,2452345
26800,2465190
26900,2450211
27000,2464759
27100,2471041
27200,2506581
27300,2496090
27400,2488686
27500,2585214
27600,2498314
27700,2513714
27800,2564373
27900,2581737
28000,2552400
28100,2557169
28200,2538152
28300,2549214
28400,2625493
28500,2625101
28600,2601936
28700,2577218
28800,2636003
28900,2622768
29000,2634430
29100,2634019
29200,2721670
29300,2677644
29400,2667264
29500,2703805
29600,2672364
29700,2782869
29800,2729325
29900,2759073
30000,2722101
30100,2727661
30200,2847576
30300,2729084
30400,2843979
30500,2820302
30600,2788771
30700,2853477
30800,2782690
30900,2800514
31000,2841153
31100,2808700
31200,2922251
31300,2836083
31400,2928174
31500,2862104
31600,2904727
31700,2983310
31800,2924616
31900,2968622
32000,2919386
32100,3005724
32200,2983971
32300,2967981
32400,3035812
32500,3011706
32600,3004763
32700,2996947
32800,3126600
32900,3008821
33000,3001105
33100,3027818
33200,3031885
33300,3046323
33400,3104277
33500,3070631
33600,3141509
33700,3133123
33800,3149084
33900,3131690
34000,3125939
34100,3128033
34200,3180716
34300,3178802
34400,3194783
34500,3175917
34600,3250242
34700,3238368
34800,3244179
34900,3291972
35000,3301721
35100,3265241
35200,3281553
35300,3269720
35400,3259740
35500,3319296
35600,3313324
35700,3312653
35800,3382389
35900,3384373
36000,3406816
36100,3372931
36200,3343383
36300,3382439
36400,3354265
36500,3386147
36600,3358182
36700,3366949
36800,3404212
36900,3470441
37000,3442216
37100,3450342
37200,3377389
37300,3472665
37400,3501050
37500,3490550
37600,3548574
37700,3496722
37800,3492073
37900,3521991
38000,3518043
38100,3548824
38200,3553452
38300,3582790
38400,3588371
38500,3615324
38600,3611487
38700,3619181
38800,3632888
38900,3633690
39000,3660522
39100,3809893
39200,3688997
39300,3718756
39400,3665281
39500,3782821
39600,3666955
39700,3733815
39800,3709117
39900,3760397
40000,3728455
40100,3805355
40200,3773352
40300,3781207
40400,3821716
40500,3830483
40600,3837677
40700,3798400
40800,3962110
40900,3899487
41000,3881943
41100,3855642
41200,3858838
41300,3889929
41400,3904888
41500,3881172
41600,4142952
41700,3936650
41800,4064770
41900,4217368
42000,4014251
42100,3979794
42200,4004001
42300,3969925
42400,4024331
42500,4053287
42600,4014682
42700,4012928
42800,4036515
42900,4018940
43000,4060823
43100,4013891
43200,4048067
43300,4076804
43400,4099507
