number,timetaken
1,80
101,5130
201,9818
301,15138
401,20187
501,25738
601,32450
701,38933
801,44003
901,49964
1001,58108
1101,61004
1201,66604
1301,73798
1401,81663
1501,86061
1601,96000
1701,101190
1801,106810
1901,117290
2001,123712
2101,133079
2201,144020
2301,146925
2401,147306
2501,154259
2601,160861
2701,167002
2801,174937
2901,177933
3001,183122
3101,199293
3201,199313
3301,209442
3401,250018
3501,225251
3601,229680
3701,260428
3801,252212
3901,246982
4001,277029
4101,262441
4201,269313
4301,279663
4401,280976
4501,285163
4601,305222
4701,308958
4801,325459
4901,326651
5001,338323
5101,347370
5201,367778
5301,355134
5401,375643
5501,371084
5601,377196
5701,385351
5801,397614
5901,390040
6001,412241
6101,405018
6201,416670
6301,422991
6401,439232
6501,626312
6601,446535
6701,535873
6801,522438
6901,464008
7001,480920
7101,487372
7201,488384
7301,527176
7401,516006
7501,525223
7601,529641
7701,538658
7801,530934
7901,529130
8001,545882
8101,565288
8201,553846
8301,573754
8401,599121
8501,594092
8601,611975
8701,600794
8801,603540
8901,630209
9001,624508
9101,648784
9201,641099
9301,656558
9401,651139
9501,670144
9601,679652
9701,689861
9801,697916
9901,701212
