number,timetaken
1,601
101,8055
201,15560
301,22963
401,30507
501,38081
601,45525
701,54432
801,60533
901,68148
1001,75641
1101,83166
1201,90670
1301,97863
1401,105527
1501,119594
1601,120736
1701,128129
1801,140543
1901,142947
2001,155822
2101,158888
2201,166481
2301,174036
2401,185927
2501,188883
2601,196388
2701,204152
2801,214000
2901,219371
3001,226504
3101,234719
3201,241662
3301,250629
3401,257231
3501,263764
3601,274994
3701,278011
3801,294000
3901,293770
4001,301033
4101,307255
4201,316032
4301,327513
4401,330999
4501,357188
4601,345417
4701,357238
4801,361546
4901,367317
5001,375532
5101,382576
5201,395490
5301,398966
5401,409978
5501,414416
5601,420246
5701,429704
5801,441827
5901,444772
6001,450312
6101,462806
6201,457045
6301,466282
6401,481971
6501,482723
6601,491981
6701,504464
6801,505005
6901,527587
7001,525153
7101,527157
7201,534791
7301,543427
7401,543287
7501,556701
7601,565348
7701,578092
7801,577110
7901,592899
8001,597739
8101,605202
8201,613177
8301,615421
8401,623818
8501,629538
8601,642853
8701,652181
8801,660766
8901,669333
9001,670104
9101,669583
9201,674302
9301,687096
9401,697054
9501,706942
9601,718154
9701,726900
9801,733532
9901,733182
