number,timetaken
1,70
101,5030
201,11051
301,19536
401,28303
501,34264
601,45685
701,52839
801,62908
901,72346
1001,85400
1101,87514
1201,98745
1301,119955
1401,116758
1501,128450
1601,147166
1701,147115
1801,166381
1901,167303
2001,183142
2101,194624
2201,202969
2301,213780
2401,232595
2501,234899
2601,262902
2701,261860
2801,268212
2901,286075
3001,290995
3101,407472
3201,435254
3301,334425
3401,337371
3501,355605
3601,391693
3701,397704
3801,476412
3901,391994
4001,427971
4101,522658
4201,441106
4301,441766
4401,469999
4501,494274
4601,490758
4701,504053
4801,533799
4901,520914
5001,566189
5101,606715
5201,605634
5301,604141
5401,668822
5501,651850
5601,636811
5701,626332
5801,630791
5901,655256
6001,699059
6101,687356
6201,759762
6301,690232
6401,777625
6501,768608
6601,728183
6701,748971
6801,762166
6901,777535
7001,774820
7101,784207
7201,850211
7301,877552
7401,851413
7501,844000
7601,859368
7701,902709
7801,898471
7901,921314
8001,936914
8101,999721
8201,1149752
8301,999861
8401,990643
8501,1019378
8601,993860
8701,1005171
8801,1050525
8901,1039675
9001,1459371
9101,1446056
9201,1495449
9301,1500268
9401,1507411
9501,1513271
9601,1695884
9701,1567352
9801,1578494
9901,1614000
